,UMAP_1,UMAP_2
130,0.95457125,7.93602
131,-0.24323238,3.4488025
132,-4.36152,12.967937
133,-3.4239566,8.692978
134,1.9828323,-2.9189465
135,0.6792541,0.10898796
136,-3.477021,-0.102239944
137,-0.21656841,5.4611754
138,9.338062,-2.253193
139,3.0611506,-5.142489
140,-2.9408941,6.3693705
141,-4.5163236,12.886134
142,-0.36551645,6.4761024
143,0.07268126,2.9492276
144,11.297186,6.446307
145,-2.1640587,-2.6102927
146,-1.8597298,-2.7337482
147,-3.7766428,13.168948
148,3.8392434,-5.64262
149,-1.5852594,9.131692
150,6.7238545,-1.7390225
151,10.292183,18.559832
152,12.134196,11.982721
153,0.97494155,7.601276
154,-1.7266637,-4.911662
155,10.742065,11.697539
156,-4.395834,11.1065
157,-1.571048,13.057259
158,11.835488,5.0718703
159,-0.78568035,-5.4553323
160,11.690802,4.931913
161,1.4759502,-2.9501805
162,1.1644361,0.28643402
163,12.258113,1.7242053
164,12.766795,7.1758294
165,3.1551886,-1.5382994
166,4.152895,-5.2550344
167,8.652857,-4.6882524
168,-0.37566623,5.446656
169,11.253677,-1.8090761
170,-5.1582384,14.399244
171,12.429271,5.253415
172,9.110249,-7.0319552
173,-2.4438667,14.453897
174,5.192435,-5.702354
175,-1.8340098,13.91718
176,-2.9376912,-1.6248244
177,-5.0003276,12.136461
178,-0.9548488,-5.2170444
179,11.15968,9.448755
180,10.326086,12.672589
181,-0.524831,-4.205614
182,9.421808,-4.7773743
183,0.54383445,-4.2447944
184,1.6247399,-0.04349768
185,12.6435,2.2306864
186,-2.2916703,-2.6647632
187,11.995833,6.256551
188,-3.9793065,3.841216
189,10.082347,-4.118793
190,8.257566,-0.48372737
191,-0.77164334,-5.440968
192,1.1836768,0.29800922
193,12.251988,1.5458556
194,-2.0519035,9.886954
195,0.987089,1.1368871
196,-4.9515324,12.182182
197,3.2761102,-5.17606
198,10.604107,-6.114141
199,11.474645,13.673235
200,-4.889927,11.829427
201,0.30925488,-6.2774367
202,-3.1690667,-0.2077285
203,1.6774553,-0.07595757
204,3.0827386,-4.9769893
205,2.7320063,-2.353797
206,-0.09705884,4.836154
207,12.189325,7.8343673
208,3.030545,-5.1381516
209,9.020539,-3.7653089
210,2.9920406,-2.2870648
211,11.60005,8.114264
212,-2.544791,-1.4891701
213,6.361102,-4.2712817
214,3.201813,-4.973015
215,12.7748,4.6781154
216,12.254913,5.2817297
217,1.9622865,-0.5619099
218,9.007212,1.2958256
219,10.6835,11.248914
220,-1.4616375,3.144561
221,8.300787,0.16815092
222,9.159981,1.7197102
223,5.664681,-5.2770276
224,-2.9954994,13.969063
225,-1.1173993,8.554929
226,12.219357,7.5858197
227,8.38593,-5.684423
228,10.55809,11.537943
229,5.582772,-5.0761747
230,10.711085,-2.2374325
231,8.612448,-4.6827817
232,-1.0927145,13.555341
233,10.178819,-2.2212567
234,11.403959,6.887249
235,-3.1553621,14.019884
236,11.15183,-1.9035006
237,-0.8263531,6.5530868
238,13.137509,7.536942
239,-4.9600115,12.246727
240,-0.9513752,5.8048673
241,-1.9645455,4.856889
242,-1.4719734,3.188251
